"Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","61697","15669","9018","61112","4212","2584","7642","5946","4239","6609","4556","10989","2592","61658"
"Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","61735","11715","16895","33854","4765","2666","6568","11725","6770","4498","2942","2495","4157","13492"
"Neither","Neither","Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success","Success","Success","Success"
"0","62628","30257","62006","4540","4644","3146","21575","16409","13336","2874","6575","11890","7499","3298"
"Neither","Success","Neither","Neither","Success","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","25065","61532","64302","3587","62267","8377","15725","9056","6892","5695","4030","3357","4468","2604"
"Neither","Neither","Neither","Neither","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","65072","62174","63360","14287","7635","11821","11095","3388","5702","9733","24266","9163","9352","5905"
