"Neither","Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","63307","60787","19488","8420","65306","13081","7716","9733","3009","11681","6744","6174"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success","Success"
"0","61457","62252","60569","64958","62195","4500","47917","4939","12264","62540","4022","17431"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Success"
"0","65911","65752","61278","12381","7338","7233","11940","40940","12664","11252","60843","5245"
"Neither","Neither","Success","Neither","Success","Success","Success","Neither","Success","Neither","Neither","Success","Success"
"0","63648","6743","62800","8861","11672","4223","68912","10695","64194","60287","6073","12277"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Neither","Success","Success"
"0","68040","42431","7975","10720","25838","19004","7965","12306","66527","64085","9524","8540"
"Neither","Success","Success","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success"
"0","6852","4836","66315","68559","12322","63997","14682","19567","9009","12826","10876","5241"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Neither","Success","Success","Neither","Success"
"0","67899","68830","65909","56158","15866","69894","26295","62170","4888","5679","64774","13610"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Neither","Success","Neither","Success"
"0","72871","71180","60396","34122","71705","60429","4758","26527","66888","11512","66227","16736"
"Neither","Success","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","41581","68686","71726","73554","61536","17660","8325","38146","19835","17628","43837","11353"
"Neither","Neither","Neither","Success","Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success"
"0","76183","69309","21025","72709","74660","69819","17382","28967","11809","19630","64630","34469"
"Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Success","Neither","Neither","Neither"
"0","16786","17222","52425","11818","19539","6377","48073","66124","10485","68914","73251","65852"
"Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success","Neither","Success","Success","Success"
"0","76039","30545","20222","54549","16802","20200","77677","19846","74726","6263","35626","7712"
"Neither","Neither","Success","Success","Success","Neither","Neither","Neither","Neither","Success","Success","Neither","Success"
"0","75093","17932","12692","12314","74500","75583","27659","77394","13777","29003","21606","8658"
