"Neither","Neither","Violation","Neither","Neither","Violation","Neither","Neither","Success","Success"
"179341","157567","157869","157243","159949","161397","83876","244358","324823","413333"
"Neither","Neither","Violation","Neither","Neither","Neither","Neither","Violation","Neither","Violation"
"164960","0","167157","165162","165338","82853","338214","171952","90352","85510"
"Neither","Neither","Neither","Neither","Success","Neither","Violation","Neither","Violation","Violation"
"170612","171606","171968","91213","354723","176759","445441","177698","177464","180589"
"Neither","Neither","Neither","Neither","Violation","Violation","Success","Violation","Neither","Neither"
"181480","181898","180378","193066","181946","182425","371617","187832","283996","187522"
"Neither","Violation","Neither","Violation","Violation","Neither","Neither","Neither","Neither","Success"
"187946","294074","191146","191936","191766","0","95976","389579","87590","255414"
