"Neither","Neither","Neither","Neither","Neither","Violation","Neither","Neither","Neither","Success","Success","Neither","Success","Neither","Neither"
"56704","81475","26485","82019","57348","62394","122457","88354","161230","94478","67874","64887","64199","104449","115877"
"Violation","Neither","Neither","Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Neither","Neither","Success","Success"
"70219","132114","177179","115005","99711","98653","105507","104611","104442","105589","101843","103502","72433","70712","104923"
"Neither","Neither","Neither","Neither","Neither","Success","Neither","Success","Neither","Success","Success","Success","Violation","Neither","Success"
"68649","68592","34462","37342","36583","129984","76548","83643","85294","216059","131418","137382","77863","117009","115633"
"Neither","Neither","Neither","Neither","Neither","Success","Neither","Violation","Neither","Neither","Neither","Neither","Neither","Neither","Success"
"81447","124290","39921","121580","85948","82426","211582","83079","125835","122911","168552","127230","126394","87846","88456"
"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Neither","Success","Success","Success","Neither","Violation"
"86913","132004","130491","132016","131913","44025","138262","183185","92946","142654","94699","230854","94515","140988","90935"
