"Neither","Neither","Success","Neither","Neither","Success","Success","Success","Success","Neither","Violation","Success"
"45614","23978","49906","23933","22811","25101","50484","81355","51146","28303","103906","55583"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success"
"56280","55100","25814","32820","26480","26510","28514","57832","61133","58858","30208","59024"
"Neither","Neither","Success","Neither","Neither","Success","Success","Success","Success","Neither","Success","Success"
"55249","29442","30419","57493","30402","93655","93488","63560","63833","31073","101009","30842"
"Neither","Neither","Success","Neither","Neither","Success","Success","Success","Success","Success","Neither","Neither"
"65739","64688","31338","33151","33742","68089","71970","67970","35423","104929","39341","34878"
"Neither","Neither","Success","Success","Neither","Success","Neither","Success","Success","Neither","Success","Neither"
"69183","87856","85585","37189","75581","73625","37058","36079","77247","39766","92808","85209"
"Neither","Neither","Success","Neither","Neither","Neither","Success","Success","Success","Success","Success","Neither"
"77865","38585","88369","87939","129393","42014","45684","127243","142667","44085","88062","44637"
