"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Neither","Success","Success","Success"
"0","59762","58961","60831","61024","60150","60943","60393","12102","26072","10421","60318","2218","5607","22422"
"Neither","Neither","Neither","Violation","Neither","Success","Success","Success","Neither","Success","Neither","Neither","Success","Success","Neither"
"0","64439","60312","60329","60632","34484","3174","8781","26492","4444","61514","62964","20517","39944","62741"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Neither","Success","Success","Neither","Neither","Success"
"0","60475","61314","31827","5613","58476","62793","14300","26581","62033","11436","6755","7707","62921","4996"
"Neither","Neither","Violation","Neither","Neither","Success","Neither","Neither","Neither","Success","Success","Neither","Success","Neither","Neither"
"0","62636","62790","60030","61031","3781","63024","63474","63540","42022","5575","16737","5412","63719","61307"
"Neither","Violation","Neither","Success","Success","Success","Success","Neither","Success","Success","Neither","Neither","Neither","Success","Neither"
"0","63190","66958","24177","2638","2801","38690","65139","6089","5604","63429","61923","64230","5423","33048"
