"Neither","Success","Neither","Success","Success","Success","Neither","Violation","Success","Success","Success","Violation","Success","Success","Success"
"0","11233","60179","2079","34263","3099","60751","22335","2264","4278","3636","5939","4091","4648","4417"
"Neither","Neither","Neither","Success","Success","Violation","Success","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","61625","61582","2916","5991","62477","2043","6571","5080","7049","8082","25174","35480","5308","4930"
"Neither","Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60612","62755","10486","12620","19021","61058","6150","18323","4270","4837","5268","12657","6666","2560"
"Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","62881","20409","4980","6336","62884","34730","4824","5642","4597","14653","9042","3363","3097","5733"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Success"
"0","64467","61591","5975","10005","6120","5556","5986","9230","8300","2587","9575","5743","7419","5698"
"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","63939","63675","61364","61807","61835","62040","9213","7060","5576","4924","10233","4736","6501","18393"
"Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Neither"
"0","65403","8692","35831","61401","60394","8659","7771","25931","3957","60653","5969","3400","27617","10765"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","62485","61137","10413","10599","8430","12346","20889","17082","7683","6899","7315","3760","4815","7806"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Violation","Success","Success","Violation","Success","Success","Success"
"0","62369","23104","15413","17200","4339","5715","5021","11438","3494","21116","8120","19879","9169","18015"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither"
"0","61764","62567","44647","8502","20041","11038","8584","8913","4614","12026","5581","22136","10817","66071"
