"Neither","Neither","Success","Neither","Neither","Success","Neither","Success","Success","Neither","Neither","Neither","Success","Neither","Neither"
"57433","55205","112965","115656","59441","152665","60575","90728","119295","89287","58117","150066","92440","59496","124031"
"Neither","Success","Neither","Success","Success","Neither","Neither","Neither","Success","Violation","Neither","Neither","Neither","Success","Success"
"61304","98076","128110","132410","65791","132629","67494","68185","169528","66654","101131","70662","102812","142304","142014"
"Neither","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Neither","Neither","Neither","Success","Violation","Success"
"75193","106663","35280","74366","76442","107952","78159","117730","117692","78153","154895","117400","117755","77787","117607"
"Neither","Violation","Neither","Neither","Neither","Success","Neither","Neither","Success","Neither","Success","Neither","Neither","Neither","Neither"
"80344","118427","39844","119219","164384","126420","166021","122873","85834","210941","128409","124269","89197","172698","97140"
"Neither","Neither","Neither","Neither","Neither","Success","Neither","Success","Neither","Success","Neither","Success","Neither","Success","Neither"
"89734","141023","144682","103309","94353","205040","254623","255103","199179","145461","101510","109194","147852","95676","149911"
"Neither","Neither","Neither","Success","Neither","Neither","Violation","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success"
"92996","143152","47120","96824","167062","121885","111195","107209","168092","171976","157595","110820","265947","154457","160476"
"Neither","Neither","Violation","Success","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success"
"104485","108380","103934","160316","263068","102914","108415","162509","161627","162444","168783","165779","220550","111691","228992"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Neither","Success","Success","Neither","Success","Neither","Neither","Neither"
"111861","112222","116582","112108","116132","112991","111112","110020","280047","282671","171501","171985","118046","120957","171435"
